post_id,text,date,source
1,"BNI Expo 2024 target Rp1T, bangga jadi nasabah!",2024-06-18,X
2,"HUT BNI ke-78, ada promo apa tahun ini?",2024-03-19,X
3,"BNI luncurkan QRIS wondr, ada yang sudah coba?",2024-06-11,Instagram
4,"TapCash BNI rusak, gak bisa dipakai di merchant.",2024-06-06,X
5,"QRIS wondr BNI bikin transaksi cepat, sukses terus!",2024-07-01,Instagram
6,"BNI Expo 2024 target Rp1T, bangga jadi nasabah!",2024-01-02,Facebook
7,"BNI Direct cash transaksi Rp6T, mantap!",2024-04-08,Facebook
8,"BNI dukung UMKM dengan kredit baru, info lengkap di web.",2024-01-25,Facebook
9,BNI kenapa sih atm selalu antri panjang?,2024-05-05,Instagram
10,"BNI bagikan dividen Rp13,9T untuk 2023, cek berita!",2024-03-20,Instagram
11,"Laba BNI 2023 Rp 20T, bank terbaik di Indonesia!",2024-02-14,X
12,"HUT BNI ke-78, adakah diskon apa tahun ini?",2024-03-23,X
13,"BNI distribusikan keuntungan Rp13,9T untuk 2023, lihat berita!",2024-01-01,X
14,"BNI Expo 2024 target Rp1T, senang menjadi nasabah!",2024-06-28,X
15,"Laba BNI 2023 Rp 20T, bank terbaik di Indonesia!",2024-02-23,Instagram
16,"BNI Expo 2024 tujuan Rp1T, senang jadi nasabah!",2024-02-22,X
17,"BNI TapCash promo NCT 127 keren banget, hemat 50% di merchant!",2024-02-04,X
18,"Transaksi QRIS gagal, bikin malu di kasir!",2024-02-25,X
19,"Laba BNI 2023 Rp 20T, lembaga keuangan nomor satu pada Indonesia!",2024-04-07,X
20,"BNI Expo 2024 sasaran Rp1T, bangga menjadi nasabah!",2024-07-11,Instagram
21,"Layanan CS BNI lambat, komplain gak ditanggapi!",2024-03-01,Instagram
22,"QRIS wondr BNI bikin pembayaran cepat, sukses terus!",2024-06-01,Facebook
23,"QRIS wondr BNI bikin operasi cepat, sukses terus!",2024-02-01,X
24,"BNI Expo 2024 sasaran Rp1T, bangga jadi nasabah!",2024-05-02,Facebook
25,BNI kenapa kok atm setiap saat antri panjang?,2024-06-02,Facebook
26,"BNI rilis QRIS wondr, ada yang sudah coba?",2024-03-11,Instagram
27,"BNI Direct cash transaksi Rp6T, mantap!",2024-03-12,Facebook
28,"Aplikasi BNI Mobile error lagi, tolong perbaiki dong!",2024-07-31,Instagram
29,"Layanan CS BNI lambat, keluhan tidak ditanggapi!",2024-04-02,X
30,"BNI TapCash diskon NCT 127 hebat banget, hemat 50% pada merchant!",2024-03-12,X
31,"Layanan CS BNI lambat, keluhan tidak ditanggapi!",2024-01-23,X
